drug_name,generic_name
セレコキシブ錠２００ｍｇ「フェルゼン」,セレコキシブ
セレコキシブ錠２００ｍｇ「三笠」,セレコキシブ
セレコキシブ錠２００ｍｇ「明治」,セレコキシブ
セレコキシブ錠２００ｍｇ「ＶＴＲＳ」,セレコキシブ
トラマールＯＤ錠２５ｍｇ,トラマドール塩酸塩
トラマドール塩酸塩ＯＤ錠２５ｍｇ「ＫＯ」,トラマドール塩酸塩
トラマールＯＤ錠５０ｍｇ,トラマドール塩酸塩
トラマドール塩酸塩ＯＤ錠５０ｍｇ「ＫＯ」,トラマドール塩酸塩
ワントラム錠１００ｍｇ,トラマドール塩酸塩
ツートラム錠５０ｍｇ,トラマドール塩酸塩
ツートラム錠１００ｍｇ,トラマドール塩酸塩
ツートラム錠１５０ｍｇ,トラマドール塩酸塩
ツートラム錠２５ｍｇ,トラマドール塩酸塩
クリアミン配合錠Ａ１．０,エルゴタミン酒石酸塩・無水カフェイン配合剤
クリアミン配合錠Ｓ０．５,エルゴタミン酒石酸塩・無水カフェイン配合剤
ＳＧ配合顆粒,ピラゾロン系解熱鎮痛消炎配合剤
トラマドール塩酸塩・アセトアミノフェン錠,トラマドール塩酸塩・アセトアミノフェン
トラムセット配合錠,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「ＪＧ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「ＳＮ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「ＴＣ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「ＴＣＫ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「ケミファ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「サワイ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「サンド」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「トーワ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「三笠」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「ＮＩＧ」,トラマドール塩酸塩・アセトアミノフェン
トアラセット配合錠「ＫＭＰ」,トラマドール塩酸塩・アセトアミノフェン
アマンタジン塩酸塩１０％細粒,アマンタジン塩酸塩
